No;LDP;NFP;SKG;JCP;gender;education;age
1;80;75;80;0;male;1;75
2;75;80;50;20;female;1;64
3;100;25;100;0;male;2;56
4;75;50;25;50;male;2;52
5;75;50;50;0;male;4;52
6;50;75;50;50;female;3;31
7;25;50;25;0;male;1;64
8;25;25;50;0;male;2;46
9;50;50;50;50;male;1;70
10;60;90;10;10;male;4;50
11;70;25;0;0;male;1;62
12;75;50;25;25;female;2;41
13;50;50;25;25;male;1;74
14;75;0;100;25;male;4;46
15;75;100;50;0;female;4;29
16;50;50;75;75;female;2;66
17;50;40;40;40;male;2;68
18;25;50;60;60;male;4;23
19;50;40;25;25;male;3;70
20;75;25;50;25;female;2;53
21;75;40;25;10;male;2;65
22;50;25;50;25;male;2;65
23;50;30;30;70;male;2;45
24;90;0;50;30;male;4;53
25;50;25;0;50;male;2;51
26;70;20;50;80;male;2;51
27;50;50;50;10;male;3;71
28;75;0;20;10;female;4;52
29;50;25;25;0;male;3;76
30;80;25;25;0;male;4;48
31;70;70;25;25;male;2;64
32;50;25;25;0;male;4;72
33;50;30;25;50;female;2;67
34;50;25;50;50;female;3;50
35;80;50;40;0;male;3;74
36;50;100;25;0;male;2;68
37;40;80;50;50;male;1;63
38;25;80;40;20;female;2;26
39;50;100;0;0;female;3;48
40;60;60;70;30;female;2;68
41;80;70;90;80;male;1;63
42;50;90;30;50;male;2;69
43;50;50;30;20;female;2;50
44;75;50;50;25;female;3;52
45;50;75;25;50;male;3;53
46;25;75;75;0;male;4;47
47;75;75;25;0;male;1;68
48;25;75;0;0;male;2;48
49;40;80;30;0;female;2;46
50;50;75;75;25;female;2;29
51;75;50;50;25;male;4;56
52;80;80;50;40;female;2;84
53;50;100;50;25;male;1;74
54;50;25;50;25;female;2;43
55;75;25;75;25;male;4;66
56;50;75;50;75;male;2;56
57;50;25;75;50;male;3;61
58;70;30;50;70;male;4;42
59;0;25;75;50;male;4;35
60;10;80;10;0;female;3;44
61;50;50;10;0;male;2;36
62;100;60;30;30;male;2;57
63;40;40;60;0;male;4;46
64;50;40;25;70;male;2;27
65;75;50;50;0;male;1;71
66;50;30;60;25;male;4;61
67;50;10;65;70;male;3;45
68;60;10;30;0;male;1;73
69;50;50;75;25;female;3;81
70;50;30;30;30;female;2;63
71;50;25;50;30;male;4;59
72;90;60;60;40;male;4;41
73;75;25;25;0;male;2;57
74;50;75;50;40;female;2;61
75;50;10;10;0;female;2;67
76;100;50;0;0;male;2;51
77;25;75;25;25;female;3;60
78;50;50;50;50;male;2;62
79;75;50;25;50;male;2;44
80;50;25;50;25;female;2;48
81;50;75;25;25;male;2;44
82;50;25;25;20;male;2;52
83;70;60;50;30;male;4;60
84;50;75;50;30;male;3;65
85;50;40;40;30;male;1;58
86;50;40;50;30;male;1;56
87;0;0;0;100;male;1;58
88;75;50;50;25;male;2;48
89;50;50;80;50;female;3;69
90;50;50;50;0;male;2;54
91;50;75;50;25;male;1;67
92;50;75;75;25;female;3;53
93;25;25;50;75;male;2;54
94;90;40;20;0;male;2;70
95;75;100;25;0;male;2;66
96;50;50;50;30;male;1;72
97;50;75;25;25;male;3;31
98;75;75;25;0;female;3;60
99;75;25;50;50;male;2;60
100;50;50;75;25;male;2;58
101;75;50;50;0;female;1;73
102;75;25;0;0;male;2;37
103;50;75;100;0;female;2;59
104;15;15;30;10;male;4;28
105;50;75;0;0;male;3;64
106;75;75;95;25;male;4;39
107;75;25;75;0;male;3;60
108;50;25;50;25;male;1;75
109;25;100;0;0;male;1;76
110;50;50;50;50;female;2;38
111;50;10;50;100;male;1;65
112;40;40;10;15;male;1;80
113;50;50;50;25;male;4;62
114;50;75;25;25;male;4;67
115;70;70;50;50;male;2;34
116;80;90;40;0;male;4;54
117;60;60;20;20;male;1;70
118;75;50;25;25;male;1;73
119;25;0;50;100;male;4;61
120;100;75;75;0;male;2;46
121;100;25;50;0;male;1;57
122;10;100;10;0;female;2;37
123;75;50;40;40;male;1;75
124;75;50;50;25;male;2;66
125;25;50;50;25;male;2;54
126;70;50;50;20;female;1;65
127;50;60;50;0;male;4;59
128;90;70;75;60;female;1;62
129;50;50;50;50;male;1;58
130;50;50;50;30;male;2;57
131;50;50;50;30;female;2;43
132;50;25;50;25;male;1;64
133;75;25;50;0;male;2;60
134;50;50;50;50;female;2;60
135;25;75;50;0;male;1;65
136;75;50;50;0;male;2;59
137;75;25;25;0;male;1;74
138;50;50;25;25;female;1;64
139;70;50;50;80;male;1;70
140;50;70;0;0;male;2;51
141;20;20;30;50;male;2;59
142;50;50;40;25;male;4;63
143;50;30;50;30;male;2;57
144;10;90;10;10;female;2;65
145;50;50;50;25;female;2;53
146;50;50;25;0;female;1;64
147;75;75;50;50;male;3;60
148;75;25;75;0;female;1;66
149;65;60;50;10;female;1;62
150;60;55;62;10;female;2;55
151;58;50;48;5;female;2;50
152;20;70;10;10;male;3;65
153;60;40;50;50;female;2;52
154;60;20;20;30;male;2;63
155;75;75;75;25;female;4;49
156;50;50;50;40;male;1;81
157;55;55;70;40;male;2;64
158;50;50;50;25;male;2;68
159;85;55;55;0;male;1;67
160;50;75;50;25;female;2;79
161;60;60;50;0;female;1;59
162;70;70;30;30;male;1;56
163;75;50;0;0;male;2;74
164;75;75;75;75;male;3;70
165;75;0;0;50;male;2;68
166;80;60;50;20;male;2;65
167;60;40;30;10;male;2;55
168;60;55;60;10;female;1;74
169;75;75;40;5;female;2;64
170;60;50;40;10;female;3;42
171;50;80;20;20;male;2;48
172;75;80;50;50;female;1;52
173;43;40;70;20;male;2;41
174;50;70;30;0;female;3;44
175;20;100;0;0;female;2;27
176;70;30;30;10;male;1;75
177;75;50;100;25;male;2;58
178;50;50;50;30;male;2;44
179;75;50;50;25;female;3;48
180;50;50;50;25;female;2;60
181;50;50;50;25;female;2;49
182;25;25;50;75;female;3;52
183;50;50;30;30;male;1;62
184;50;50;50;75;male;2;69
185;75;50;25;0;male;2;56
186;50;50;50;0;male;2;34
187;50;80;0;25;male;2;75
188;40;50;0;10;female;3;67
189;70;50;40;0;male;2;57
190;50;25;50;80;male;1;52
191;40;90;0;0;female;1;48
192;50;60;20;0;male;4;69
193;50;50;15;25;male;1;35
194;50;50;50;50;male;2;41
195;70;50;30;0;female;2;69
196;50;40;50;30;male;2;66
197;30;40;20;20;male;3;40
198;50;75;25;0;male;2;57
199;30;30;30;40;female;2;59
200;75;60;40;0;male;4;44
201;50;75;25;25;male;2;59
202;75;50;50;25;female;2;57
203;75;50;50;0;male;1;54
204;50;25;50;25;male;3;66
205;50;75;30;25;male;1;59
206;25;50;25;0;male;2;50
207;25;75;25;0;female;3;36
208;25;50;25;0;male;2;45
209;25;75;75;50;female;2;51
210;25;75;0;0;male;2;62
211;50;75;0;50;male;2;36
212;70;50;50;30;male;2;55
213;75;50;75;0;male;4;64
214;50;75;50;25;female;1;59
215;70;60;40;30;female;2;41
216;70;30;50;30;male;2;51
217;50;40;40;20;male;2;42
218;50;75;50;0;female;2;47
219;75;40;25;10;female;2;50
220;75;75;50;40;female;3;51
221;75;50;50;60;female;1;72
222;80;40;50;30;female;1;69
223;80;60;40;0;female;1;68
224;75;25;75;0;female;2;46
225;50;50;25;25;male;2;77
226;25;25;25;0;male;2;42
227;70;10;60;30;male;2;68
228;80;50;20;0;female;1;60
229;50;50;20;10;female;2;55
230;90;50;30;10;male;2;49
231;50;10;0;0;female;3;49
232;50;80;20;0;female;1;58
233;45;60;50;0;male;2;53
234;50;50;50;0;male;2;49
235;75;50;50;25;male;2;56
236;75;100;50;0;female;3;43
237;100;75;50;0;male;2;48
238;75;75;0;0;female;1;59
239;100;75;25;0;female;2;48
240;100;75;25;0;male;1;68
241;75;50;0;0;female;2;61
242;70;30;30;0;female;2;59
243;50;50;50;50;female;3;30
244;75;50;25;0;male;1;78
245;75;50;25;25;male;2;53
246;75;50;25;0;female;2;50
247;75;25;100;0;male;1;62
248;70;50;60;25;female;2;59
249;75;50;50;0;male;2;48
250;50;50;50;50;male;2;61
251;0;90;50;50;female;2;33
252;55;45;55;30;male;2;63
253;25;25;25;50;female;2;40
254;50;25;25;50;male;2;65
255;0;100;0;0;female;2;25
256;80;0;30;30;male;2;67
257;25;80;20;15;male;2;60
258;25;75;25;0;female;2;58
259;70;70;50;0;male;1;52
260;50;25;25;50;male;4;54
261;70;40;30;0;male;4;47
262;30;0;80;30;female;3;51
263;0;50;0;0;female;3;54
264;50;100;25;0;female;2;61
265;75;70;40;0;female;2;67
266;25;75;25;25;male;4;61
267;50;70;20;10;male;2;37
268;25;100;0;0;female;3;54
269;75;75;50;0;male;4;46
270;60;70;40;40;female;2;47
271;45;50;30;30;female;2;37
272;60;40;50;30;male;1;62
273;25;100;0;0;female;2;43
274;25;25;55;20;male;2;65
275;0;0;0;85;male;4;64
276;75;50;78;10;male;1;68
277;50;25;75;50;male;4;67
278;25;75;25;0;male;4;76
279;5;0;10;90;male;2;62
280;50;70;50;45;male;2;61
281;40;50;40;50;female;2;41
282;50;25;50;75;male;2;61
283;25;100;0;0;female;2;58
284;70;30;60;30;male;2;54
285;40;30;50;75;male;4;35
286;55;55;45;40;male;1;50
287;50;75;25;25;male;2;64
288;25;25;25;25;male;4;50
289;70;40;60;10;male;2;53
290;70;60;50;40;male;2;55
291;25;100;0;75;female;1;54
292;40;90;60;10;male;3;69
293;25;50;20;0;male;1;60
294;75;75;25;0;male;4;71
295;50;50;50;0;male;2;44
296;60;50;70;50;male;4;40
297;40;40;80;20;female;1;48
298;40;50;70;30;female;2;57
299;70;50;80;20;female;1;43
300;70;60;40;20;female;2;46
301;40;40;80;30;male;1;49
302;30;30;60;60;male;4;41
303;60;70;40;30;female;2;28
304;80;60;50;10;male;1;62
305;75;75;50;0;male;2;57
306;60;60;40;10;male;4;51
307;60;30;70;60;male;4;58
308;60;70;50;0;female;4;52
309;60;50;70;50;male;4;44
310;60;70;50;50;male;1;74
311;50;80;50;30;male;1;32
312;30;30;30;70;female;1;56
313;50;0;50;0;male;2;42
314;80;25;25;0;male;2;67
315;90;70;50;10;male;2;59
316;50;50;50;50;male;1;58
317;70;80;55;25;male;2;45
318;75;90;25;10;male;4;57
319;50;50;50;30;male;3;60
320;100;50;30;0;male;3;31
321;50;100;25;0;male;2;31
322;25;75;25;25;female;2;34
323;70;60;40;0;male;2;62
324;50;60;20;10;male;3;74
325;40;60;40;30;female;2;71
326;50;70;30;30;male;1;64
327;70;40;30;60;male;1;72
328;50;50;50;50;female;3;30
329;100;40;50;30;male;1;65
330;70;50;70;50;male;4;63
331;75;50;25;25;male;2;62
332;75;0;100;90;female;3;61
333;25;75;20;20;male;2;51
334;75;0;75;25;male;4;53
335;70;40;60;0;male;2;52
336;30;80;20;20;male;2;49
337;70;50;50;0;female;2;43
338;50;50;50;25;female;2;48
339;40;75;40;40;male;2;53
340;70;0;80;50;male;4;31
341;25;25;50;25;male;2;50
342;70;70;75;20;female;3;60
343;75;25;20;25;female;1;27
344;75;50;50;50;male;2;40
345;60;40;50;20;male;4;51
346;50;75;50;0;female;2;66
347;60;70;50;50;male;4;63
348;50;50;50;50;female;2;27
349;50;50;60;40;female;1;62
350;50;70;30;0;female;2;70
351;50;50;30;0;male;2;70
352;80;80;80;20;male;3;66
353;50;80;30;30;male;2;65
354;80;80;10;0;male;4;35
355;90;50;50;30;male;1;77
356;80;50;80;80;male;2;58
357;50;60;40;40;female;2;68
358;70;50;50;40;male;2;63
359;50;0;0;0;male;2;60
360;50;50;75;50;male;2;68
361;25;90;10;25;female;2;32
362;30;20;25;50;female;2;46
363;50;90;20;10;female;2;59
364;90;50;50;0;male;2;73
365;40;25;25;50;female;3;63
366;60;60;60;50;female;2;60
367;50;50;50;75;female;2;39
368;25;25;25;75;male;2;44
369;35;60;0;0;male;1;55
370;70;50;50;40;female;2;31
371;75;75;50;0;male;2;66
372;75;75;75;0;male;2;72
373;50;75;50;25;female;2;47
374;25;75;50;25;female;2;37
375;30;80;50;50;male;4;56
376;60;40;40;10;male;2;57
377;80;50;50;50;male;3;56
378;50;75;25;25;female;4;44
379;100;75;75;25;male;4;46
380;80;50;40;10;female;4;31
381;50;25;75;25;male;4;43
382;75;60;70;0;female;1;48
383;50;75;50;25;male;2;62
384;75;50;50;0;female;2;42
385;50;50;50;0;female;2;47
386;75;0;25;25;female;2;54
387;80;75;40;0;male;2;63
388;60;70;0;0;male;2;72
389;50;60;30;0;male;2;47
390;50;75;0;0;female;2;42
391;50;100;25;0;male;1;60
392;75;50;0;0;male;2;67
393;80;70;40;20;female;2;70
394;70;80;50;10;male;1;70
395;60;80;20;30;male;4;64
396;50;60;10;10;male;2;67
397;50;70;60;30;male;2;58
398;25;75;5;0;female;2;56
399;50;50;50;50;female;2;68
400;50;50;50;0;male;1;69
401;50;25;50;25;female;1;66
402;50;80;50;0;male;2;49
403;30;0;90;10;female;1;63
404;40;0;0;30;female;4;37
405;75;25;50;25;female;2;54
406;80;0;70;0;female;1;71
407;50;30;25;0;female;2;51
408;80;20;25;0;female;3;31
409;25;50;0;0;male;2;66
410;50;25;75;25;male;2;70
411;10;5;10;1;male;2;39
412;10;7;7;1;female;1;63
413;75;50;50;25;female;2;76
414;50;75;75;25;female;2;56
415;50;100;50;25;female;2;65
416;50;75;25;50;male;4;29
417;50;50;40;20;female;1;77
418;50;40;30;50;male;1;65
